,0
535,25.9
536,9.31
537,31.4
538,25.57
539,19.68
540,28.23
541,28.44
542,29.31
543,8.09
544,23.37
545,24.12
546,20
547,8.32
548,7.45
549,20.73
550,31.28
551,11.72
552,26
553,18.86
554,16.41
555,15.97
556,24.71
557,32.35
558,24.78
559,17.1
560,17.4
561,19.16
562,11.03
563,33.85
564,16.69
565,34.82
566,25.84
567,24.31
568,14.49
569,20.81
570,21.74
571,18.82
572,19.95
573,21.39
574,24.11
575,17.12
576,19.18
577,22.46
578,19.14
579,19.23
580,21.13
581,20.8
582,11.02
583,13.53
584,11.61
585,21.12
586,18.34
587,20.63
588,21.47
589,10.66
590,23.84
591,24.74
592,23.85
593,24.84
594,23.03
595,15.19
596,11.89
597,16.43
598,21.39
599,18.49
600,24.73
601,17.03
602,14.52
603,17.79
604,21.61
605,24.02
606,16.12
607,23.23
608,22.15
609,23.24
610,13.76
611,24.6
612,23.87
613,24.7
614,21.4
615,21.26
616,19.79
617,20.31
618,21.63
619,12.44
620,10.14
621,11.59
622,16.16
623,12.39
624,20.47
625,10.54
626,19.35
627,17.97
628,12.87
629,24.82
630,22.33
631,15.18
632,23.38
633,21.68
634,22.84
635,11.35
636,23.65
637,17.04
638,19.08
639,24.76
640,13.27
641,24.05
642,16.04
643,13.91
644,14.75
645,14.73
646,13.24
647,24.26
648,16.3
649,15.26
650,21.7
651,12.46
652,20.85
653,16.61
654,17.2
655,10.85
656,15.73
657,13.8
658,10.64
659,15.2
660,12.85
661,23.3
662,14.58
663,18.44
664,19.11
665,15.75
666,16.5
667,11.9
668,22.72
669,11.76
670,39.72
671,38.49
672,30
673,28.08
674,30.5
675,30
676,30
677,30
678,31
679,25
680,22.96
681,18.95
682,21.71
683,26.27
684,9.67
685,29.38
686,14.47
687,22.24
688,11.12
689,8.2
690,18.49
691,14.66
692,32.14
693,24.09
694,22.31
695,32.67
696,8.29
697,9.22
698,27.86
699,16.45
700,29.53
701,32.57
702,29.08
703,28.01
704,20.69
705,12.26
706,30.14
707,22.24
708,11.06
709,20.43
710,26.72
711,19.38
712,28.62
713,14.97
714,24.41
715,25.04
716,31.81
717,28.74
718,17.25
719,31.82
720,28.84
721,8.8
722,24.14
723,14.04
724,34.83
725,26.89
726,15.61
727,20.34
728,16.19
729,25.78
730,8.54
731,19.32
732,13.41
733,24.64
734,13.8
735,9.05
736,23.15
737,23.22
738,23.74
739,23.42
740,10.2
741,13.74
742,14.52
743,26.63
744,30.69
745,32.25
746,27.62
747,9.34
748,9.12
749,34.92
750,18.9
751,29.45
752,8.54
753,29.49
754,30.34
755,9.54
756,21.23
757,11.94
758,28.12
759,20.95
760,16.45
761,20.14
762,27.37
763,23.54
764,24.52
765,26.89
766,22.73
767,20.92
768,20.19
769,18.89
770,17.85
771,22.68
772,26.92
773,19.99
774,21.84
775,19.99
776,26.4
777,20.29
778,25.79
779,24.25
780,22.98
781,26.73
782,14.29
783,20.43
784,30.04
785,23.77
786,20.45
787,19.27
788,19.07
789,21.53
790,17.49
791,30.33
792,20.37
793,29.08
794,32.73
795,16.76
796,8.04
797,32.1
798,13.69
799,34.8
800,13.6
801,12.75
802,16.2
803,15.16
804,18.66
805,19.04
806,19.07
807,18.95
808,15.38
809,18.57
810,19.85
811,17.82
812,16.36
813,15.65
814,19.58
815,16.96
816,15.19
817,15.32
818,16.73
819,16.52
820,15.85
821,21.02
822,34.28
823,22.89
824,11.65
825,11.62
826,33.87
827,30.08
828,9.35
829,23.98
830,18.86
831,10.94
832,12.23
833,31.43
834,10.02
835,13.84
836,16.91
837,29.08
838,9.23
839,14.87
840,17.93
841,29.09
842,18.42
843,11.07
844,31.74
845,18.33
846,34.08
847,24.34
848,27.04
849,15.91
850,32.4
851,23.7
852,14.16
853,28.19
